Ticket;Open Time;Type;Size;Item;Price;S / L;T / P;Close Time;Price;Commission;Taxes;Swap;Profit;
128076914;06.10.2022 16:50;buy;0.62;usdjpy;144.847;144.701;165.935;06.10.2022 21:00;144.976;-4,34;0,00;0,00;55,17;
128165871;06.10.2022 9:24;buy;0.34;chfjpy;147.472;147.206;163.984;06.10.2022 12:48;147.206;-2,38;0,00;0,00;-62,50;
128194539;06.10.2022 9:24;buy;0.35;chfjpy;147.472;147.206;163.984;06.10.2022 12:48;147.206;-2,45;0,00;0,00;-64,34;
128733451;07.10.2022 16:55;buy;0.56;cadjpy;106.047;105.864;116.703;07.10.2022 17:00;105.864;-3,92;0,00;0,00;-70,58;
128733468;07.10.2022 17:37;sell;0.22;gbpjpy;161.091;161.537;107.427;07.10.2022 17:54;161.537;-1,54;0,00;0,00;-67,60;
128733470;07.10.2022 9:24;sell;0.38;nzdjpy;81.783;82.047;46.151;07.10.2022 13:58;82.047;-2,66;0,00;0,00;-69,22;
128733471;07.10.2022 16:55;buy;0.56;cadjpy;106.047;105.864;116.703;07.10.2022 17:00;105.864;-3,92;0,00;0,00;-70,58;
128733626;07.10.2022 17:37;sell;0.22;gbpjpy;161.091;161.537;107.427;07.10.2022 17:54;161.537;-1,54;0,00;0,00;-67,60;
128733627;07.10.2022 9:24;sell;0.38;nzdjpy;81.783;82.047;46.151;07.10.2022 13:58;82.047;-2,66;0,00;0,00;-69,22;
128733674;07.10.2022 15:30;buy;0.66;usdjpy;145.141;144.991;157.269;07.10.2022 15:31;144.991;-4,62;0,00;0,00;-68,28;
128733712;07.10.2022 15:30;buy;0.66;usdjpy;145.141;144.991;157.269;07.10.2022 15:31;144.991;-4,62;0,00;0,00;-68,28;
128735467;07.10.2022 12:11;sell;0.37;chfjpy;146.206;146.472;120.478;07.10.2022 15:29;146.472;-2,59;0,00;0,00;-67,88;
128735469;07.10.2022 12:11;sell;0.37;chfjpy;146.206;146.472;120.478;07.10.2022 15:29;146.472;-2,59;0,00;0,00;-67,88;
128741825;07.10.2022 3:54;sell;0.56;cadjpy;105.449;105.626;88.121;07.10.2022 10:39;105.626;-3,92;0,00;0,00;-68,39;
128751344;07.10.2022 3:54;sell;0.56;cadjpy;105.449;105.626;88.121;07.10.2022 10:39;105.626;-3,92;0,00;0,00;-68,39;
128770356;07.10.2022 15:30;buy;0.69;usdjpy;145.141;144.996;157.269;07.10.2022 15:31;144.996;-4,83;0,00;0,00;-69,00;
128770428;07.10.2022 15:30;buy;0.68;usdjpy;145.141;144.995;157.269;07.10.2022 15:31;144.995;-4,76;0,00;0,00;-68,47;
128929403;07.10.2022 15:30;sell;0.55;cadjpy;105.381;105.561;87.397;07.10.2022 15:30;105.561;-3,85;0,00;0,00;-68,28;
128929466;07.10.2022 15:30;sell;0.54;cadjpy;105.381;105.561;87.397;07.10.2022 15:30;105.561;-3,78;0,00;0,00;-67,03;
128955075;07.10.2022 17:37;sell;0.22;gbpjpy;161.091;161.534;107.427;07.10.2022 17:54;161.534;-1,54;0,00;0,00;-67,14;
128955166;07.10.2022 17:37;sell;0.22;gbpjpy;161.091;161.534;107.427;07.10.2022 17:54;161.534;-1,54;0,00;0,00;-67,14;
129039331;07.10.2022 15:30;sell;0.34;nzdjpy;81.611;81.891;49.291;07.10.2022 16:18;81.891;-2,38;0,00;0,00;-65,67;
129039338;07.10.2022 15:30;sell;0.34;nzdjpy;81.611;81.891;49.291;07.10.2022 16:18;81.891;-2,38;0,00;0,00;-65,67;
129247713;07.10.2022 17:14;buy;0.43;cadjpy;106.048;105.847;121.232;07.10.2022 22:00;105.885;-3,01;0,00;0,00;-48,22;
129247727;07.10.2022 17:14;buy;0.43;cadjpy;106.048;105.847;121.232;07.10.2022 22:00;105.886;-3,01;0,00;0,00;-47,93;
129513132;10.10.2022 2:31;buy;0.54;usdjpy;145.441;145.287;156.929;10.10.2022 9:46;145.287;-3,78;0,00;0,00;-57,24;
129513175;10.10.2022 8:58;sell;0.36;nzdjpy;81.302;81.031;65.686;10.10.2022 20:39;81.031;-2,52;0,00;0,00;66,94;
