Ticket;Open Time;Type;Size;Item;Price;S / L;T / P;Close Time;Price;Commission;Taxes;Swap;Profit;;;;
1520455163;2023.03.02 18:00:00;buy;0.01;euraud;1.57690;0.00000;0.00000;2023.03.06 03:01:24;1.57482;0.00;0.00;-0.08;-1.40;;;;
1520467479;2023.03.02 21:02:19;buy;0.02;euraud;1.57493;0.00000;0.00000;2023.03.06 03:01:24;1.57482;0.00;0.00;-0.18;-0.15;;;;
1520469423;2023.03.02 21:47:04;buy;0.08;eurcad;1.44087;0.00000;0.00000;2023.03.03 14:53:08;1.44198;0.00;0.00;-0.63;6.53;;;;
1520474802;2023.03.03 01:01:04;buy stop;0.03;usdjpy;137.094;136.905;154.326;2023.03.03 20:59:08;136.009;cancelled;;;;;;;
1520474808;2023.03.03 01:01:05;buy stop;0.03;usdjpy;137.094;136.905;154.326;2023.03.03 20:59:08;136.009;cancelled;;;;;;;
1520474814;2023.03.03 01:01:06;buy stop;0.03;usdjpy;136.993;136.767;156.001;2023.03.03 20:59:08;136.007;cancelled;;;;;;;
1520474819;2023.03.03 01:01:07;buy stop;0.03;usdjpy;136.993;136.767;156.001;2023.03.03 20:59:09;136.007;cancelled;;;;;;;
1520476533;2023.03.03 02:54:27;buy;0.02;euraud;1.57292;0.00000;0.00000;2023.03.06 03:01:24;1.57482;0.00;0.00;-0.09;2.56;;;;
1520478610;2023.03.03 04:00:00;sell;0.01;xauusd;1838.72;0.00;0.00;2023.03.03 16:22:48;1843.63;0.00;0.00;0.00;-4.91;;;;
1520478649;2023.03.03 04:00:00;sell;0.01;gbpusd;1.19627;0.00000;0.00000;2023.03.03 17:02:17;1.19718;0.00;0.00;0.00;-0.91;;;;
1520483479;2023.03.03 08:17:22;sell;0.02;xauusd;1841.24;0.00;0.00;2023.03.03 16:22:48;1843.63;0.00;0.00;0.00;-4.78;;;;
1520485400;2023.03.03 08:48:22;sell;0.02;gbpusd;1.19827;0.00000;0.00000;2023.03.03 17:02:17;1.19721;0.00;0.00;0.00;2.12;;;;
1520485498;2023.03.03 08:50:00;sell;0.02;xauusd;1843.74;0.00;0.00;2023.03.03 16:22:48;1843.63;0.00;0.00;0.00;0.22;;;;
1520488534;2023.03.03 09:30:00;sell;0.01;audcad;0.91679;0.00000;0.00000;2023.03.06 12:13:19;0.91610;0.00;0.00;0.01;0.51;;;;
1520491492;2023.03.03 10:13:04;buy;0.03;euraud;1.57092;0.00000;0.00000;2023.03.06 03:01:24;1.57482;0.00;0.00;-0.13;7.89;;;;
1520474816;2023.03.03 10:22:13;sell;0.03;usdjpy;136.222;136.441;122.491;2023.03.03 10:51:31;136.445;0.00;0.00;0.00;-4.90;;;;
1520474822;2023.03.03 10:22:13;sell;0.03;usdjpy;136.222;136.441;122.491;2023.03.03 10:51:31;136.445;0.00;0.00;0.00;-4.90;;;;
1520495748;2023.03.03 11:06:54;sell;0.03;xauusd;1846.42;0.00;0.00;2023.03.03 16:22:48;1843.60;0.00;0.00;0.00;8.46;;;;
1520495234;2023.03.03 11:24:49;sell;0.02;usdjpy;136.213;136.197;122.117;2023.03.03 14:24:51;136.197;0.00;0.00;0.00;0.23;;;;
1520495271;2023.03.03 11:24:49;sell;0.02;usdjpy;136.213;136.059;122.117;2023.03.03 16:25:41;136.063;0.00;0.00;0.00;2.20;;;;
1520502964;2023.03.03 12:43:42;sell;0.02;gbpusd;1.20030;0.00000;0.00000;2023.03.03 17:02:17;1.19722;0.00;0.00;0.00;6.16;;;;
1520505499;2023.03.03 13:16:13;sell;0.05;xauusd;1848.43;0.00;0.00;2023.03.03 16:22:48;1843.60;0.00;0.00;0.00;24.15;;;;
1520474805;2023.03.03 13:52:05;sell;0.03;usdjpy;136.017;136.206;118.785;2023.03.03 14:25:14;136.208;0.00;0.00;0.00;-4.21;;;;
1520474811;2023.03.03 13:52:05;sell;0.03;usdjpy;136.017;136.206;118.785;2023.03.03 14:25:14;136.208;0.00;0.00;0.00;-4.21;;;;
